review,rating,date,bank,source,sentiment_label,sentiment_score,processed_review,keywords,identified_theme(s)
The worest MB app ever!!🙄,1,2024-09-02,BOA,Google Play,NEGATIVE,0.8734644651412964,wor mb app,"['wor', 'app']",Other
Very good,5,2024-09-01,BOA,Google Play,POSITIVE,0.9998520612716676,good,['good'],Other
It is ok,5,2024-09-01,BOA,Google Play,POSITIVE,0.9998496770858764,ok,['ok'],Other
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,1,2024-08-30,BOA,Google Play,NEGATIVE,0.9987314343452454,plz fix app screenshot lovation hide glarey share botten work,"['share', 'hide', 'fix app']",Other
Good,5,2024-08-30,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Apollo's,1,2024-08-29,BOA,Google Play,POSITIVE,0.9974138736724854,apollo,['apollo'],Other
The worst experience ever,1,2024-08-29,BOA,Google Play,NEGATIVE,0.999792754650116,bad experience,"['bad experience', 'experience', 'bad']",Other
Hussenaliumar,5,2024-08-29,BOA,Google Play,NEGATIVE,0.6654537916183472,hussenaliumar,[],Other
Good,3,2024-08-28,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,1,2024-08-28,BOA,Google Play,NEGATIVE,0.999367892742157,hi problem app boa mobile know wrong app time download sam work sam like app way customer know account check save book,"['sam', 'know', 'know wrong']",Other
It is not work for my device,5,2024-08-27,BOA,Google Play,NEGATIVE,0.9997636675834656,work device,"['device', 'work']",Other
"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",1,2024-08-26,BOA,Google Play,NEGATIVE,0.9990233182907104,sick tiere enable disable developer option everytime use app maybe know maybe not fix anoye,"['maybe', 'app maybe', 'enable']",Other
The worst app ever,1,2024-08-26,BOA,Google Play,NEGATIVE,0.9997934699058532,bad app,"['bad app', 'bad', 'app']",Other
Good,5,2024-08-26,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Betanya Gebre,3,2024-08-23,BOA,Google Play,POSITIVE,0.8911886215209961,betanya gebre,[],Other
I dont recommand it to any one,1,2024-08-23,BOA,Google Play,NEGATIVE,0.9855504035949708,not recommand,['not'],Other
Good,5,2024-08-22,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Excellent app,5,2024-08-21,BOA,Google Play,POSITIVE,0.9998356103897096,excellent app,"['excellent app', 'excellent', 'app']",Other
"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",1,2024-08-20,BOA,Google Play,NEGATIVE,0.9988825917243958,application work update able use forgot password feature block access,"['update able', 'block', 'application work']",Feature Requests
ትርሃስ,5,2024-08-19,BOA,Google Play,NEGATIVE,0.6970565915107727,ትርሃስ,[],Other
Gio,4,2024-08-19,BOA,Google Play,POSITIVE,0.9969680905342102,gio,[],Other
App isn't working,1,2024-08-18,BOA,Google Play,NEGATIVE,0.9995692372322084,app work,"['app work', 'work', 'app']",Other
Best app,5,2024-08-18,BOA,Google Play,POSITIVE,0.999686598777771,good app,"['good app', 'good', 'app']",Other
so far good but always it lugs,3,2024-08-17,BOA,Google Play,NEGATIVE,0.982947051525116,far good lug,"['far good', 'far', 'good']",Other
Don't trust this bank and its service.,1,2024-08-16,BOA,Google Play,NEGATIVE,0.99963116645813,trust bank service,"['service', 'bank']",Customer Support
"I can not open and use the application,please help me!",5,2024-08-15,BOA,Google Play,NEGATIVE,0.9995014667510986,open use application help,"['application help', 'use application', 'help']",Customer Support
Horrible,1,2024-08-14,BOA,Google Play,NEGATIVE,0.9997841715812684,horrible,['horrible'],Other
Mostly not working 😑,1,2024-08-14,BOA,Google Play,NEGATIVE,0.9995824694633484,work,['work'],Other
Good,5,2024-08-13,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Awesome 👌,5,2024-08-12,BOA,Google Play,POSITIVE,0.9998607635498048,awesome,['awesome'],Other
"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",3,2024-08-12,BOA,Google Play,NEGATIVE,0.9997915625572203,despite enhance technology application work properly ask developer option turn fix,"['application work', 'technology', 'enhance']",Other
Thank you,3,2024-08-12,BOA,Google Play,POSITIVE,0.9998352527618408,thank,['thank'],Other
Very poor app b/c highly slow to open the app,1,2024-08-12,BOA,Google Play,NEGATIVE,0.9998080134391784,poor app b c highly slow open app,"['app highly', 'poor app', 'open app']",Other
Ok,5,2024-08-12,BOA,Google Play,POSITIVE,0.9997851252555848,ok,['ok'],Other
best,1,2024-08-12,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
Best app,5,2024-08-11,BOA,Google Play,POSITIVE,0.999686598777771,good app,"['good app', 'good', 'app']",Other
Wedi Tekle .,5,2024-08-11,BOA,Google Play,NEGATIVE,0.8421270847320557,wedi tekle,[],Other
Bad app📱👎👎👎,1,2024-08-11,BOA,Google Play,NEGATIVE,0.9997676014900208,bad app,"['bad app', 'bad', 'app']",Other
Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,5,2024-08-11,BOA,Google Play,NEGATIVE,0.9956488013267516,dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf,[],Other
Nice appp,5,2024-08-11,BOA,Google Play,POSITIVE,0.9997910857200624,nice appp,['nice'],Other
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10,BOA,Google Play,NEGATIVE,0.952187716960907,ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን ከዘመን አንጉደል,"['አልፎ', 'ነገር', 'ነገር ግን']",Other
Gooood app my dear,5,2024-08-10,BOA,Google Play,NEGATIVE,0.9005938172340393,gooood app dear,"['dear', 'app']",Other
Harun tamam galanaa,3,2024-08-09,BOA,Google Play,NEGATIVE,0.9410594701766968,harun tamam galanaa,[],Other
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",1,2024-08-08,BOA,Google Play,NEGATIVE,0.9998038411140442,total disaster app offline work embarassing lose hope take business competitor,"['offline', 'disaster', 'lose']",Other
Gamebela,1,2024-08-08,BOA,Google Play,POSITIVE,0.8994184732437134,gamebela,[],Other
so poor app to use can't start up when open the app,1,2024-08-08,BOA,Google Play,NEGATIVE,0.999744474887848,poor app use start open app,"['app use', 'poor app', 'start']",Other
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,2024-08-07,BOA,Google Play,NEGATIVE,0.9987001419067384,app take long time open work simply bank application app digital invoice able find screeshot keep transaction developer fix,"['take long', 'app take', 'long time']",Other
Good job,5,2024-08-07,BOA,Google Play,POSITIVE,0.999835729598999,good job,"['good job', 'job', 'good']",Other
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",1,2024-08-07,BOA,Google Play,NEGATIVE,0.9998094439506532,bad app user friendly serve basic functionality correctly take time login navigate app expect bank,"['take time', 'navigate', 'basic']",Other
good,3,2024-08-07,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Good,5,2024-08-07,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
Bad app .,1,2024-08-06,BOA,Google Play,NEGATIVE,0.9997915625572203,bad app,"['bad app', 'bad', 'app']",Other
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",1,2024-08-06,BOA,Google Play,NEGATIVE,0.9994394183158876,mean big financial company like irresponsible release app ashamed,"['ashamed', 'mean', 'release']",Other
Review,5,2024-08-06,BOA,Google Play,POSITIVE,0.9946893453598022,review,['review'],Other
Goood,4,2024-08-06,BOA,Google Play,NEGATIVE,0.9943867921829224,goood,['goood'],Other
Ok,5,2024-08-06,BOA,Google Play,POSITIVE,0.9997851252555848,ok,['ok'],Other
👎👎👎👎👎👎👎👎👎,1,2024-08-06,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04,BOA,Google Play,NEGATIVE,0.99793541431427,necessary switch developer option time use mobile banking,"['necessary', 'switch developer', 'option time']",Other
The previous version is better it doesn't work,1,2024-08-04,BOA,Google Play,NEGATIVE,0.9997755885124208,previous version well work,"['previous version', 'previous', 'version']",Other
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03,BOA,Google Play,NEGATIVE,0.9998201727867126,know wrong boa bank general go backwards year app disaster use possible way stable log slow perform transaction screenshot find picture save screenshot option time fail perform transaction simply bad,"['perform transaction', 'perform', 'screenshot']",Transaction Performance
ok,5,2024-08-03,BOA,Google Play,POSITIVE,0.9997851252555848,ok,['ok'],Other
Nice,5,2024-08-03,BOA,Google Play,POSITIVE,0.9998552799224854,nice,['nice'],Other
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",1,2024-08-03,BOA,Google Play,POSITIVE,0.9958856701850892,note cbe mobile banking app good banking app currently note improve ur app u learn best,"['note', 'banking app', 'best']",Other
Great,5,2024-08-03,BOA,Google Play,POSITIVE,0.9998630285263062,great,['great'],Other
It's a useless app,1,2024-08-02,BOA,Google Play,NEGATIVE,0.9998058676719666,useless app,"['useless app', 'useless', 'app']",Other
"It's not working as it was , so much need to improve, it was the best but not anymore",2,2024-08-01,BOA,Google Play,NEGATIVE,0.9968530535697936,work need improve good anymore,"['need improve', 'improve good', 'work need']",Other
Poor network,1,2024-08-01,BOA,Google Play,NEGATIVE,0.9997891783714294,poor network,"['network', 'poor']",Other
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,1,2024-07-31,BOA,Google Play,NEGATIVE,0.9993754029273988,completely work app know work properly sad,"['know work', 'completely', 'app know']",Other
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,1,2024-07-31,BOA,Google Play,NEGATIVE,0.9953023195266724,app open say coonection issue not open bug smooth work improve,"['open', 'say', 'improve']",Other
"It's not working totally, what a useless app is it,",1,2024-07-31,BOA,Google Play,NEGATIVE,0.999817192554474,work totally useless app,"['totally', 'useless app', 'useless']",Other
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",1,2024-07-31,BOA,Google Play,NEGATIVE,0.9989368319511414,app troubling day work love bank hate app,"['hate app', 'hate', 'day']",Other
this is so disappointing app 😞,1,2024-07-31,BOA,Google Play,NEGATIVE,0.9998024106025696,disappointing app,"['disappointing', 'app']",Other
አቢስኒያ የሁሉም ምርጫ,5,2024-07-29,BOA,Google Play,NEGATIVE,0.8337252736091614,አቢስኒያ የሁሉም ምርጫ,[],Other
Ok,5,2024-07-29,BOA,Google Play,POSITIVE,0.9997851252555848,ok,['ok'],Other
Nays,5,2024-07-28,BOA,Google Play,NEGATIVE,0.9894010424613952,nay,[],Other
The worst app,1,2024-07-28,BOA,Google Play,NEGATIVE,0.9997969269752502,bad app,"['bad app', 'bad', 'app']",Other
it can't even open and only display error messages,1,2024-07-27,BOA,Google Play,NEGATIVE,0.9993472695350648,open display error message,"['message', 'error', 'open']",Account Access Issues
not active,1,2024-07-27,BOA,Google Play,NEGATIVE,0.999765932559967,active,['active'],Other
To get good quality,5,2024-07-27,BOA,Google Play,POSITIVE,0.999868392944336,good quality,"['quality', 'good']",Other
አይሰራም እኮ ምንድን ነው ችግሩ?,1,2024-07-26,BOA,Google Play,NEGATIVE,0.9647620320320128,አይሰራም እኮ ምንድን ነው ችግሩ,"['አይሰራም', 'ነው']",Other
uselss app dont download,1,2024-07-26,BOA,Google Play,NEGATIVE,0.9977203011512756,uselss app not download,"['not', 'download', 'app']",Other
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25,BOA,Google Play,NEGATIVE,0.9997162222862244,app fake try work try later unable transaction purpose app work delete,"['try', 'purpose', 'work']",Other
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",1,2024-07-25,BOA,Google Play,NEGATIVE,0.9991223216056824,app work new version new app compatible samsung,"['new', 'new app', 'samsung']",Feature Requests
Corrupted and poor app,1,2024-07-24,BOA,Google Play,NEGATIVE,0.9997439980506896,corrupted poor app,"['poor app', 'poor', 'app']",Other
Good,1,2024-07-24,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24,BOA,Google Play,NEGATIVE,0.999801218509674,try use application say developer setting setting play work,"['setting', 'play', 'use application']",Other
Nice,5,2024-07-24,BOA,Google Play,POSITIVE,0.9998552799224854,nice,['nice'],Other
FIX YOUR Apollo!! You guys where the best 👌,1,2024-07-23,BOA,Google Play,POSITIVE,0.999450385570526,fix apollo guy good,"['apollo', 'guy', 'fix']",Other
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,1,2024-07-23,BOA,Google Play,NEGATIVE,0.9994396567344666,slow work weekend rush merchant app,"['merchant', 'slow', 'work']",Transaction Performance
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",1,2024-07-23,BOA,Google Play,NEGATIVE,0.9997815489768982,difficult use user app one dawenload user operate help,"['user', 'operate', 'difficult']",User Interface & Experience
Poor application. It turned off by itself,1,2024-07-23,BOA,Google Play,NEGATIVE,0.999744474887848,poor application turn,"['poor', 'turn', 'application']",Other
Okay,5,2024-07-23,BOA,Google Play,POSITIVE,0.9997709393501282,okay,['okay'],Other
Allowed,5,2024-07-23,BOA,Google Play,POSITIVE,0.9978752136230468,allow,['allow'],Other
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,1,2024-07-23,BOA,Google Play,NEGATIVE,0.9991043210029602,usually crash reason give problem internet connection internet fine,"['internet', 'fine', 'reason']",Other
we want international mobile banking,1,2024-07-22,BOA,Google Play,POSITIVE,0.958784818649292,want international mobile banking,"['international', 'want', 'mobile banking']",Other
"screenshot isn't working, Please modify it",2,2024-07-22,BOA,Google Play,NEGATIVE,0.9996084570884703,screenshot work modify,"['screenshot', 'work']",Other
Naziriet measho 89160437,1,2024-07-22,BOA,Google Play,NEGATIVE,0.9862651228904724,naziriet measho,[],Other
Ahmed Mohammed husen,3,2024-07-21,BOA,Google Play,POSITIVE,0.912414848804474,ahmed mohammed husen,[],Other
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,1,2024-07-19,BOA,Google Play,NEGATIVE,0.9996222257614136,work apollo u well pls gonne stop bank mobile banking,"['pls', 'apollo', 'bank mobile']",Other
I have experiance,5,2024-07-19,BOA,Google Play,NEGATIVE,0.8070297837257385,experiance,[],Other
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,1,2024-07-19,BOA,Google Play,NEGATIVE,0.9997739195823668,app work android show error notification forcefully close app fix asap,"['show error', 'app fix', 'notification']",Account Access Issues
Wow,5,2024-07-19,BOA,Google Play,POSITIVE,0.999592125415802,wow,['wow'],Other
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,1,2024-07-19,BOA,Google Play,NEGATIVE,0.999760091304779,crash frequently stable overall need improvement huge bank need well app current,"['need', 'bank need', 'crash frequently']",Other
ርይርፍ,3,2024-07-19,BOA,Google Play,NEGATIVE,0.6970565915107727,ርይርፍ,[],Other
The previous application is much better than this one,1,2024-07-18,BOA,Google Play,POSITIVE,0.9991149306297302,previous application well,"['previous', 'well', 'application']",Other
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",1,2024-07-18,BOA,Google Play,NEGATIVE,0.9994294047355652,bad app wise invest money like cbe app incon image app well ui invest hire professional developer company improve,"['invest', 'like cbe', 'hire']",Other
mal,5,2024-07-16,BOA,Google Play,NEGATIVE,0.9996137022972108,mal,[],Other
It is not working at all,1,2024-07-16,BOA,Google Play,NEGATIVE,0.9997811913490297,work,['work'],Other
Excellent,5,2024-07-16,BOA,Google Play,POSITIVE,0.9998434782028198,excellent,['excellent'],Other
The poorest mobile banking survice ever. Only error reports frequently,1,2024-07-16,BOA,Google Play,NEGATIVE,0.999705970287323,poor mobile banking survice error report frequently,"['survice', 'report frequently', 'poor mobile']",Other
Wow,5,2024-07-16,BOA,Google Play,POSITIVE,0.999592125415802,wow,['wow'],Other
😞😞😞😞,1,2024-07-16,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
😡😡😡😡😡😡😡,1,2024-07-15,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
The worst banking app,1,2024-07-15,BOA,Google Play,NEGATIVE,0.9998050332069396,bad banking app,"['bad banking', 'banking app', 'bad']",Other
The app is constantly crashing and freezing when to send to BOA customers' accounts.,1,2024-07-15,BOA,Google Play,NEGATIVE,0.9988401532173156,app constantly crash freeze send boa customer account,"['freeze', 'constantly crash', 'constantly']",Other
No work app,5,2024-07-15,BOA,Google Play,NEGATIVE,0.9968982934951782,work app,"['work app', 'work', 'app']",Other
Is ok but stop sundenly,5,2024-07-15,BOA,Google Play,POSITIVE,0.9309312105178832,ok stop sundenly,"['stop', 'ok']",Other
🤷🤷🤷,3,2024-07-15,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
experienced,5,2024-07-14,BOA,Google Play,POSITIVE,0.9950610995292664,experience,['experience'],Other
Very poor app. Its Always cresh and not compatible,2,2024-07-13,BOA,Google Play,NEGATIVE,0.999818742275238,poor app cresh compatible,"['poor app', 'poor', 'app']",Other
"It's not functional at all. It keeps saying ""error"". Unable to activate.",1,2024-07-13,BOA,Google Play,NEGATIVE,0.9998112320899964,functional keep say error unable activate,"['say error', 'keep say', 'unable']",Account Access Issues
BoA,5,2024-07-13,BOA,Google Play,NEGATIVE,0.7410542368888855,boa,['boa'],Other
I can't believe that Abyssinia develop this kind of trash app it have a lot of issues 👎👎👎,1,2024-07-13,BOA,Google Play,NEGATIVE,0.998315453529358,believe abyssinia develop kind trash app lot issue,"['trash', 'believe', 'develop']",Other
Boa,5,2024-07-13,BOA,Google Play,NEGATIVE,0.7410542368888855,boa,['boa'],Other
The new app is very good,5,2024-07-13,BOA,Google Play,POSITIVE,0.9998589754104614,new app good,"['new app', 'app good', 'new']",Feature Requests
It's very good but sometimes isn't work probably,5,2024-07-12,BOA,Google Play,NEGATIVE,0.937102735042572,good work probably,"['good work', 'work', 'good']",Other
It doesn't work,1,2024-07-12,BOA,Google Play,NEGATIVE,0.9997813105583192,work,['work'],Other
ጭራሽ አይነፋም,1,2024-07-12,BOA,Google Play,NEGATIVE,0.7850590348243713,ጭራሽ አይነፋም,[],Other
"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",1,2024-07-12,BOA,Google Play,NEGATIVE,0.9997655749320984,stupid app see turn developer mode app secure clearly indicate app poor implementation unskilled developer lot people need developer option different reason sake bank fix thing secure international banking app require mention lag crash,"['developer', 'secure', 'app']",Other
The worst mobile banking app,1,2024-07-11,BOA,Google Play,NEGATIVE,0.9997923970222472,bad mobile banking app,"['bad mobile', 'banking app', 'mobile banking']",Other
It is not fast,3,2024-07-11,BOA,Google Play,NEGATIVE,0.99720698595047,fast,['fast'],Transaction Performance
Ok,5,2024-07-11,BOA,Google Play,POSITIVE,0.9997851252555848,ok,['ok'],Other
Useless,1,2024-07-11,BOA,Google Play,NEGATIVE,0.9997991919517516,useless,['useless'],Other
The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,1,2024-07-11,BOA,Google Play,NEGATIVE,0.9997914433479308,app keep crash stop respond try open app bank person banking activity short bad mobile banking system ethiopia,"['respond', 'bank person', 'banking']",Other
ሀየ,5,2024-07-10,BOA,Google Play,NEGATIVE,0.6970565915107727,ሀየ,[],Other
Too late!,1,2024-07-10,BOA,Google Play,NEGATIVE,0.9988941550254822,late,['late'],Other
No work,5,2024-07-10,BOA,Google Play,NEGATIVE,0.999386191368103,work,['work'],Other
"Pretty good for a banking app, it still lacks some things with in the ui and with the speed of the app but overall it's a good application. Thank you 5/5👍🏻",5,2024-07-09,BOA,Google Play,POSITIVE,0.9995549321174622,pretty good banking app lack thing ui speed app overall good application thank,"['overall good', 'application thank', 'lack']",Other
After update it doesn't work well,2,2024-07-09,BOA,Google Play,NEGATIVE,0.9996452331542968,update work,"['update', 'work']",Feature Requests
Error occurred try again for 5 days tele birr user not found ለራሴ አዝዤ,1,2024-07-08,BOA,Google Play,NEGATIVE,0.9983060359954834,error occur try day tele birr user find ለራሴ አዝዤ,"['occur', 'tele birr', 'tele']",Other
Good but Very slow.,1,2024-07-08,BOA,Google Play,POSITIVE,0.9877548813819884,good slow,"['slow', 'good']",Transaction Performance
Very good app,5,2024-07-07,BOA,Google Play,POSITIVE,0.9998675584793092,good app,"['good app', 'good', 'app']",Other
"It is so bad apps ,it doesn't work",1,2024-07-06,BOA,Google Play,NEGATIVE,0.9998026490211488,bad app work,"['app work', 'bad app', 'bad']",Other
"From now on I will never going to use this app,It is a trash app.No one care about this app from bank I will rate them 0/5.",1,2024-07-06,BOA,Google Play,NEGATIVE,0.9991281628608704,go use app trash care app bank rate,"['go use', 'trash', 'care']",Other
It usually crashes and unable to process also it request to off the developer options,1,2024-07-05,BOA,Google Play,NEGATIVE,0.9996892213821412,usually crash unable process request developer option,"['unable', 'request', 'process']",Feature Requests
Miliyone.,5,2024-07-05,BOA,Google Play,NEGATIVE,0.9675788879394532,miliyone,[],Other
Workneh girmamo,5,2024-07-05,BOA,Google Play,POSITIVE,0.9400009512901306,workneh girmamo,[],Other
🙏🙏🙏,5,2024-07-05,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",1,2024-07-04,BOA,Google Play,NEGATIVE,0.9974097609519958,believe day age major bank country understand have work mobile payment option survive decide account cbe awash bother useless app,"['bank country', 'awash', 'decide']",Other
Is it even working these days? Please check it.,1,2024-07-04,BOA,Google Play,POSITIVE,0.9892704486846924,work day check,"['work day', 'check', 'day']",Other
"The app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......",1,2024-07-04,BOA,Google Play,NEGATIVE,0.9995259046554564,app essentially unusable ask disable developer mode disabled crash work wifi datum crash,"['crash', 'ask disable', 'datum']",Other
Please make it functional.,5,2024-07-03,BOA,Google Play,POSITIVE,0.9997920393943788,functional,['functional'],Other
its best app but its don't working in poor connection area so,5,2024-07-03,BOA,Google Play,NEGATIVE,0.9705929756164552,good app work poor connection area,"['connection', 'poor', 'app work']",Other
Please Recover thank you,5,2024-07-02,BOA,Google Play,POSITIVE,0.9997314810752868,recover thank,['thank'],Other
Best,5,2024-07-01,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
This app doesn't work,1,2024-06-30,BOA,Google Play,NEGATIVE,0.9997921586036682,app work,"['app work', 'work', 'app']",Other
Excellent app,5,2024-06-29,BOA,Google Play,POSITIVE,0.9998356103897096,excellent app,"['excellent app', 'excellent', 'app']",Other
"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",1,2024-06-27,BOA,Google Play,NEGATIVE,0.9726091623306274,app run fine take like forever open main dashboard crash guy get to step need app way fast,"['main', 'app run', 'app way']",Other
the underrated app I've ever seen and ur banking system is Soo Idiocracy,1,2024-06-27,BOA,Google Play,NEGATIVE,0.9977184534072876,underrated app see ur banking system soo idiocracy,"['banking system', 'app see', 'system']",Other
It demands to disable developer option.,1,2024-06-27,BOA,Google Play,NEGATIVE,0.9994282126426696,demand disable developer option,"['disable developer', 'disable', 'developer option']",Other
"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",1,2024-06-26,BOA,Google Play,NEGATIVE,0.999635934829712,month transaction app disappointing bank abyssinia currently near bank work place bank turn bad bank country day day respond customer update system year long think train customer service operator,"['bank', 'day', 'customer']",Other
Open Open service,5,2024-06-26,BOA,Google Play,POSITIVE,0.9997770190238952,open open service,"['open', 'service']",Customer Support
አፑ በጣም አስቸጋሪ ሆኗል,1,2024-06-25,BOA,Google Play,NEGATIVE,0.8616330027580261,አፑ በጣም አስቸጋሪ ሆኗል,['በጣም'],Other
ok,1,2024-06-24,BOA,Google Play,POSITIVE,0.9997851252555848,ok,['ok'],Other
Its not working.,1,2024-06-24,BOA,Google Play,NEGATIVE,0.9997856020927428,work,['work'],Other
"Riddled with crashes, cant use it anymore. Very frustrating!",1,2024-06-20,BOA,Google Play,NEGATIVE,0.9994331002235411,riddle crash not use anymore frustrating,"['frustrating', 'not', 'crash']",Other
Always error occured. The worst app ever,1,2024-06-20,BOA,Google Play,NEGATIVE,0.9997997879981996,error occur bad app,"['occur', 'error', 'bad app']",Account Access Issues
ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ App.... ዛግግግ ነው ያረገኝ 😡😡😡,1,2024-06-20,BOA,Google Play,NEGATIVE,0.96113383769989,ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ app ዛግግግ ነው ያረገኝ,"['የማይጠበቅ', 'ያለ', 'ባንክ']",Other
Excellent service,5,2024-06-19,BOA,Google Play,POSITIVE,0.9998576641082764,excellent service,"['excellent service', 'excellent', 'service']",Customer Support
It's not convenient,1,2024-06-17,BOA,Google Play,NEGATIVE,0.9998067021369934,convenient,['convenient'],Other
meskelu Metku,5,2024-06-17,BOA,Google Play,POSITIVE,0.8474318981170654,meskelu metku,[],Other
Verry nice,5,2024-06-17,BOA,Google Play,POSITIVE,0.9997273087501526,verry nice,['nice'],Other
It has become the most unreliable mibile banking app ever.,1,2024-06-16,BOA,Google Play,NEGATIVE,0.999081015586853,unreliable mibile banking app,"['unreliable', 'banking app', 'banking']",Other
Good,5,2024-06-14,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
"አኘልኬሽኑ በሁሉም ነገር ጥሩ ነዉ,ነገር ግን Network በጣም ነዉ እሚያስቸገረው",2,2024-06-13,BOA,Google Play,NEGATIVE,0.946504294872284,አኘልኬሽኑ በሁሉም ነገር ጥሩ ነዉ ነገር ግን network በጣም ነዉ እሚያስቸገረው,"['ነዉ', 'ነገር', 'ነገር ግን']",Other
